,Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
0,Mahomes,KC,"2,031","1,904",39.9%,36.7%,81.6,607,"4,910","5,970",50,3,2,11,66.4%,7/107,4.5
1,Brees,NO,"1,631","1,679",36.7%,38.1%,80.8,506,"3,854","4,963",32,1,1,5,74.6%,13/201,0.1
2,Rivers,LAC,"1,316","1,216",27.2%,24.3%,70.2,540,"4,104","4,554",32,0,1,12,68.3%,2/24,1.7
3,Ryan,ATL,"1,232","1,352",18.2%,21.0%,68.2,649,"4,638","5,062",35,4,5,7,69.6%,9/203,0.8
4,Roethlisberger,PIT,"1,204","1,070",14.5%,11.7%,71.8,696,"4,944","5,418",34,1,2,16,67.4%,9/152,1.4
5,Goff,LAR,"1,114","1,110",17.0%,16.9%,66.4,593,"4,450","4,703",32,4,5,10,65.2%,7/142,-0.3
6,Luck,IND,"1,070","1,152",13.3%,15.2%,71.7,656,"4,430","4,982",39,3,1,15,67.7%,10/169,0.1
7,Brady,NE,"1,034","1,051",15.4%,15.8%,70.6,589,"4,197","4,546",29,2,2,11,66.1%,8/167,2.8
8,Rodgers,GB,817,694,8.1%,5.2%,60.6,644,"4,032","4,533",25,1,3,2,62.9%,9/151,4.5
9,Watson,HOU,737,722,9.5%,9.0%,63.8,562,"3,779","3,889",26,5,2,9,69.1%,6/149,-0.3
10,Wilson,SEA,673,637,11.3%,10.2%,65.6,471,"3,090","3,317",35,4,2,6,66.8%,10/205,2.8
11,Mayfield,CLE,628,610,8.1%,7.5%,53.9,509,"3,549","3,486",27,1,3,14,64.2%,4/100,1.8
12,Cousins,MIN,595,573,2.7%,2.2%,62.0,646,"3,988","4,281",30,2,6,10,70.5%,7/69,1.0
13,Wentz,PHI,545,574,8.1%,9.1%,64.2,430,"2,851","3,016",21,1,6,7,70.1%,5/106,0.5
14,Fitzpatrick,TB,473,459,16.8%,16.0%,63.7,260,"2,283","2,005",17,2,1,12,66.7%,2/34,1.9
15,Winston,TB,470,489,6.9%,7.6%,68.6,405,"2,824","2,723",19,1,2,13,64.7%,6/126,3.2
16,Trubisky,CHI,448,540,3.6%,6.5%,72.8,457,"3,082","3,059",24,3,2,12,66.7%,10/197,2.7
17,Flacco,BAL,429,329,5.4%,1.5%,57.4,392,"2,380","2,675",12,1,1,6,61.7%,8/159,1.7
18,Dalton,CIN,404,406,5.2%,5.3%,61.9,383,"2,405","2,543",21,1,0,10,62.4%,6/95,1.1
19,Stafford,DET,396,275,-0.8%,-4.0%,54.0,594,"3,521","3,619",21,2,3,11,66.2%,10/221,1.3
20,Carr,OAK,392,281,-1.0%,-3.9%,48.9,598,"3,734","3,640",19,5,7,10,69.8%,5/59,0.3
21,Manning,NYG,337,339,-2.5%,-2.5%,51.8,622,"3,946","3,604",21,2,4,11,66.1%,9/164,-0.5
22,Newton,CAR,321,407,-1.4%,1.1%,55.9,497,"3,159","3,096",24,3,0,13,68.7%,6/71,1.1
23,Mullens,SF,286,232,4.2%,1.3%,54.9,287,"2,151","1,893",13,1,0,10,65.2%,5/40,0.1
24,Prescott,DAL,112,253,-8.1%,-4.2%,57.8,582,"3,532","3,098",22,1,5,8,67.7%,4/54,-1.0
25,Foles,PHI,74,142,-5.4%,-0.2%,67.4,202,"1,370","1,155",7,0,2,4,73.1%,3/32,-0.3
26,Mariota,TEN,65,18,-8.5%,-10.4%,55.5,373,"2,289","2,035",11,4,1,8,68.9%,7/117,1.6
27,Smith,WAS,-53,95,-13.5%,-6.9%,49.3,350,"2,033","1,722",10,4,1,5,63.3%,4/77,0.3
28,Keenum,DEN,-63,-41,-12.7%,-12.2%,46.9,620,"3,634","3,127",18,6,2,14,62.6%,7/88,0.1
29,Darnold,NYJ,-110,-139,-15.2%,-16.2%,48.4,445,"2,653","2,062",17,2,1,15,57.9%,1/5,1.1
30,Tannehill,MIA,-186,-251,-20.8%,-24.1%,35.0,309,"1,694","1,302",17,1,4,9,64.5%,3/44,0.9
31,Bortles,JAX,-221,-177,-18.9%,-17.4%,45.7,435,"2,549","1,986",13,4,2,10,60.3%,0/0,0.2
32,Allen,BUF,-534,-476,-35.9%,-33.2%,52.0,350,"1,840","1,007",10,4,1,11,53.0%,6/150,3.6
33,Rosen,ARI,"-1,145","-1,067",-53.7%,-50.8%,26.1,439,"1,943",608,11,4,5,14,55.5%,5/70,-0.7
