,Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
0,Brady,NE,"1,595","1,621",27.8%,28.4%,70.6,617,"4,366","5,468",32,3,3,8,66.4%,12/287,2.9
1,Rivers,LACH,"1,412","1,505",26.1%,28.6%,61.1,594,"4,342","4,975",28,6,1,9,63.3%,16/231,0.9
2,Brees,NO,"1,390","1,402",27.4%,27.7%,62.5,555,"4,171","4,794",23,3,0,8,72.6%,3/12,-0.2
3,Keenum,MIN,"1,293","1,307",28.1%,28.5%,72.8,503,"3,403","4,420",22,0,1,7,67.6%,14/284,0.4
4,Roethlisberger,PIT,"1,270","1,247",21.8%,21.2%,66.6,580,"4,112","4,834",28,2,1,14,64.6%,14/299,2.4
5,Goff,LARM,"1,125","1,041",24.0%,21.3%,55.7,500,"3,619","4,090",28,5,2,7,62.6%,8/161,0.2
6,Ryan,ATL,"1,084","1,076",19.1%,18.9%,67.1,552,"3,917","4,360",20,1,2,12,65.1%,6/76,1.2
7,Wentz,PHI,"1,047",934,23.8%,20.0%,78.5,471,"3,100","3,837",33,4,2,7,60.5%,7/181,3.7
8,Smith,KC,"1,026","1,071",18.3%,19.6%,65.1,541,"3,840","4,203",26,1,1,5,67.7%,4/46,0.7
9,Stafford,DET,"1,004",913,14.9%,12.5%,65.2,613,"4,149","4,485",29,5,5,10,65.8%,9/193,2.1
10,Winston,TB,779,684,14.3%,11.2%,52.0,474,"3,288","3,522",19,2,7,11,64.2%,5/90,3.2
11,Carr,OAK,709,721,9.7%,10.0%,50.5,534,"3,399","3,692",22,2,2,11,62.8%,10/213,1.4
12,ayer,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
13,Wilson,SEA,530,564,2.9%,3.8%,61.9,598,"3,586","3,762",34,6,4,11,62.5%,9/134,1.5
14,Watson,HOU,497,529,23.1%,25.2%,83.5,221,"1,583","1,851",19,1,1,6,62.4%,8/173,2.1
15,Bortles,JAC,408,597,0.3%,5.7%,59.2,547,"3,552","3,417",21,4,3,13,60.3%,9/153,0.7
16,Cousins,WAS,395,318,-0.6%,-2.7%,56.0,586,"3,709","3,565",27,6,4,13,64.6%,6/113,0.7
17,Prescott,DAL,375,322,-0.2%,-1.7%,69.9,520,"3,139","3,257",22,1,3,13,63.1%,10/193,0.5
18,Rodgers,GB,334,308,7.8%,6.3%,66.0,259,"1,513","1,872",16,0,1,6,65.0%,6/65,3.9
19,Mariota,TEN,236,262,-3.3%,-2.4%,58.6,479,"3,059","2,745",13,0,0,15,62.2%,3/42,2.3
20,Palmer,ARI,145,276,-3.2%,3.9%,50.0,289,"1,828","1,666",10,0,0,7,61.4%,7/97,0.3
21,Newton,CAR,141,197,-6.9%,-5.2%,51.5,525,"3,059","2,872",22,4,0,15,59.5%,8/117,2.5
22,Taylor,BUF,121,263,-7.0%,-2.1%,56.4,467,"2,540","2,503",14,1,2,4,62.7%,5/103,1.2
23,Manning,NYG,117,-1,-8.2%,-11.2%,47.5,602,"3,270","3,373",19,5,5,13,61.6%,4/51,1.9
24,Dalton,CIN,87,75,-8.6%,-9.0%,44.8,536,"3,061","2,894",25,0,4,12,60.3%,10/121,2.2
25,ayer,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
26,McCown,NYJ,62,133,-8.9%,-6.3%,55.6,437,"2,659","2,313",18,5,4,9,68.4%,4/55,0.0
27,Cutler,MIA,35,63,-9.9%,-8.9%,43.5,451,"2,533","2,343",19,4,0,14,62.1%,4/83,0.1
28,Hoyer,2TM,-80,-111,-16.7%,-18.8%,35.3,228,"1,154","1,055",4,0,1,4,59.0%,3/40,0.1
29,Brissett,IND,-105,-178,-14.4%,-16.6%,43.3,518,"2,774","2,464",13,3,2,7,59.5%,2/70,0.3
30,Trubisky,CHI,-119,-176,-16.8%,-19.5%,32.4,362,"1,981","1,542",7,4,2,7,59.8%,3/30,-2.4
31,J.Beathard,SF,-176,-271,-23.1%,-29.6%,35.4,243,"1,286",944,4,1,2,6,55.6%,0/0,1.3
32,Savage,HOU,-249,-252,-27.5%,-27.6%,41.7,243,"1,255",896,5,1,7,6,56.6%,7/92,2.2
33,Flacco,BAL,-301,-102,-19.3%,-13.9%,46.7,574,"2,924","2,552",18,4,0,13,64.6%,4/72,0.5
34,Siemian,DEN,-327,-242,-24.6%,-21.1%,30.9,382,"2,063","1,524",12,2,2,14,59.0%,8/136,1.7
35,Hundley,GB,-396,-517,-28.3%,-33.5%,44.8,347,"1,607","1,318",9,1,1,12,61.1%,4/87,2.0
36,Kizer,CLE,-756,-889,-34.5%,-38.6%,32.6,514,"2,679","1,580",11,1,5,20,53.8%,8/131,1.2
